  KÉVIN REZA  ,217,B&B HOTELS - VITAL CONCEPT P / B KTM  ,'28h 22'' 2'''''
  JENS DEBUSSCHERE  ,214,B&B HOTELS - VITAL CONCEPT P / B KTM  ,'28h 22'' 8'''''
  CHRISTOPHE LAPORTE  ,125,COFIDIS  ,'28h 22'' 9'''''
  CALEB EWAN  ,151,LOTTO SOUDAL  ,'28h 22'' 16'''''
  JASPER DE BUYST  ,153,LOTTO SOUDAL  ,'28h 22'' 16'''''
  MICHAEL MØRKØV  ,48,DECEUNINCK - QUICK - STEP  ,'28h 22'' 17'''''
  LILIAN CALMEJANE  ,183,TOTAL DIRECT ENERGIE  ,'28h 22'' 21'''''
  KÉVIN LEDANOIS  ,84,TEAM ARKEA - SAMSIC  ,'28h 22'' 48'''''
  MADS PEDERSEN  ,105,TREK - SEGAFREDO  ,'28h 22'' 53'''''
  MAXIMILIAN WALSCHEID  ,198,NTT PRO CYCLING TEAM  ,'28h 23'' 2'''''
  FABIEN GRELLIER  ,185,TOTAL DIRECT ENERGIE  ,'28h 23'' 4'''''
  SAM BENNETT  ,43,DECEUNINCK - QUICK - STEP  ,'28h 23'' 15'''''
  SIMONE CONSONNI  ,122,COFIDIS  ,'28h 23'' 17'''''
  LUKE ROWE  ,6,INEOS GRENADIERS  ,'28h 24'' 7'''''
  ANDRÉ GREIPEL  ,172,ISRAEL START-UP NATION  ,'28h 24'' 38'''''
  GEOFFREY SOUPE  ,187,TOTAL DIRECT ENERGIE  ,'28h 24'' 49'''''
  MARCO HALLER  ,65,BAHRAIN - MCLAREN  ,'28h 24'' 59'''''
  SAMUEL BEWLEY  ,163,MITCHELTON - SCOTT  ,'28h 26'' 22'''''
  FREDERIK FRISON  ,156,LOTTO SOUDAL  ,'28h 28'' 11'''''
  NIKIAS ARNDT  ,202,TEAM SUNWEB  ,'28h 28'' 32'''''
  DAVID DE LA CRUZ  ,133,UAE TEAM EMIRATES  ,'28h 29'' 12'''''
  WILLIAM BONNET  ,52,GROUPAMA - FDJ  ,'28h 29'' 12'''''
  WOUTER POELS  ,67,BAHRAIN - MCLAREN  ,'28h 30'' 39'''''
  ROGER KLUGE  ,158,LOTTO SOUDAL  ,'28h 33'' 35'''''
  NICCOLÒ BONIFAZIO  ,181,TOTAL DIRECT ENERGIE  ,'28h 33'' 45'''''
  STEFF CRAS  ,152,LOTTO SOUDAL  ,'28h 38'' 5'''''
  JÉRÔME COUSIN  ,184,TOTAL DIRECT ENERGIE  ,'28h 42'' 37'''''
  PAVEL SIVAKOV  ,7,INEOS GRENADIERS  ,'28h 43'' 57'''''
